o1,o1.cpus,o1.min_memory,o1.priority,o1.command,o1.state,o1.work_dir,o2,o2.cpu_load,o2.free_mem,o2.cpu,o2.state,e1
59903060,10,55G,,submission_file_5ba62685c3b84a168238680d923bdef8.sh,RUNNING,/rwthfs/rz/cluster/home/ni574034,host_n23m0217,86.71,474138,96,"""alloc""",start-59903060-1
59903060,10,55G,,submission_file_5ba62685c3b84a168238680d923bdef8.sh,RUNNING,/rwthfs/rz/cluster/home/ni574034,host_n23m0217,86.71,474138,96,"""alloc""",submit-59903060-0
59913165,1,2541M,,job.in,RUNNING,/rwthfs/rz/cluster/home/pa268464/CATS/Git/xns-testing/Cases/2ndLevel/INSBoundaryConformingWettingAngles,host_n23m0286,14.3,234450,96,"""alloc""",submit-59913165-0
59913165,1,2541M,,job.in,RUNNING,/rwthfs/rz/cluster/home/pa268464/CATS/Git/xns-testing/Cases/2ndLevel/INSBoundaryConformingWettingAngles,host_n23m0286,14.3,234450,96,"""alloc""",ended-_59913165-0
59913165,1,2541M,,job.in,RUNNING,/rwthfs/rz/cluster/home/pa268464/CATS/Git/xns-testing/Cases/2ndLevel/INSBoundaryConformingWettingAngles,host_n23m0286,14.3,234450,96,"""alloc""",ending-_59913165-0
59913165,1,2541M,,job.in,RUNNING,/rwthfs/rz/cluster/home/pa268464/CATS/Git/xns-testing/Cases/2ndLevel/INSBoundaryConformingWettingAngles,host_n23m0286,14.3,234450,96,"""alloc""",start-59913165-1
59912755,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0072,49.12,221512,96,"""mix""",ending-_59912755-0
59912755,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0072,49.12,221512,96,"""mix""",submit-59912755-0
59912755,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0072,49.12,221512,96,"""mix""",cancelled-_59912755-0
59912755,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0072,49.12,221512,96,"""mix""",start-59912755-1
59913149,1,2G,,run_pythia8_rivet.sh,RUNNING,/rwthfs/rz/cluster/work/ng762505/ttXX/stable_tt/5FS/ttbb_pythia,host_n23m0021,45.45,219089,96,"""mix""",start-59913149-1
59913149,1,2G,,run_pythia8_rivet.sh,RUNNING,/rwthfs/rz/cluster/work/ng762505/ttXX/stable_tt/5FS/ttbb_pythia,host_n23m0021,45.45,219089,96,"""mix""",submit-59913149-0
59913493,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_n23m0084,56.93,349165,96,"""alloc""",submit-59913493-0
59913493,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_n23m0084,56.93,349165,96,"""alloc""",start-59913493-1
59910579,16,2500M,,job52KA.slurm,RUNNING,/rwthfs/rz/cluster/hpcwork/ic546430/Projects_Doa/2LYE/2LYE_0.1M,host_r23m0004,73.19,225409,96,"""mix""",submit-59910579-0
59910579,16,2500M,,job52KA.slurm,RUNNING,/rwthfs/rz/cluster/hpcwork/ic546430/Projects_Doa/2LYE/2LYE_0.1M,host_r23m0004,73.19,225409,96,"""mix""",start-59910579-1
59902790,10,55G,,submission_file_5ba62685c3b84a168238680d923bdef8.sh,RUNNING,/rwthfs/rz/cluster/home/ni574034,host_r23m0178,83.23,476512,96,"""mix""",submit-59902790-0
59902790,10,55G,,submission_file_5ba62685c3b84a168238680d923bdef8.sh,RUNNING,/rwthfs/rz/cluster/home/ni574034,host_r23m0178,83.23,476512,96,"""mix""",start-59902790-1
59913863,1,2540M,,roofline.slurm,RUNNING,/rwthfs/rz/cluster/home/eu376657/roofline_slurm/roofline_scripts,host_n23m0117,64.88,213100,96,"""alloc""",submit-59913863-0
59913863,1,2540M,,roofline.slurm,RUNNING,/rwthfs/rz/cluster/home/eu376657/roofline_slurm/roofline_scripts,host_n23m0117,64.88,213100,96,"""alloc""",failed-_59913863-0
59913863,1,2540M,,roofline.slurm,RUNNING,/rwthfs/rz/cluster/home/eu376657/roofline_slurm/roofline_scripts,host_n23m0117,64.88,213100,96,"""alloc""",start-59913863-1
59316155,576,2540M,,sbatch.hfi,RUNNING,/rwthfs/rz/cluster/hpcwork/fr985830/Samir+Sufyan_new/MAE_Free_PTCD_2Fe/MAE_2Fe_on_2Ag/MAE_PTCDA_2Fe_USPP_on_2Ag/new_QE_7.3/Flat_PTCDA_4Ag/Flat_PTCDA_4Ag_30_degree_relax/Flat_PTCDA+2Fe_4Ag_PAW_pbe_30_degree_relax_U_0,host_n23m0337,96.37,38389,96,"""alloc""",start-59316155-1
59316155,576,2540M,,sbatch.hfi,RUNNING,/rwthfs/rz/cluster/hpcwork/fr985830/Samir+Sufyan_new/MAE_Free_PTCD_2Fe/MAE_2Fe_on_2Ag/MAE_PTCDA_2Fe_USPP_on_2Ag/new_QE_7.3/Flat_PTCDA_4Ag/Flat_PTCDA_4Ag_30_degree_relax/Flat_PTCDA+2Fe_4Ag_PAW_pbe_30_degree_relax_U_0,host_n23m0337,96.37,38389,96,"""alloc""",submit-59316155-0
